Region Group,Region,Flow Type,Year,Quarter,Value (£ 000's)
Wales,Wales,Exports (000's),2013,Q1,27511
Wales,Wales,Exports (000's),2013,Q2,38193
Wales,Wales,Exports (000's),2013,Q3,24256
Wales,Wales,Exports (000's),2013,Q4,30549
Wales,Wales,Exports (000's),2014,Q1,29277
Wales,Wales,Exports (000's),2014,Q2,18788
Wales,Wales,Exports (000's),2014,Q3,23271
Wales,Wales,Exports (000's),2014,Q4,46052
Wales,Wales,Exports (000's),2015,Q1,26568
Wales,Wales,Exports (000's),2015,Q2,31188
Wales,Wales,Exports (000's),2015,Q3,15813
Wales,Wales,Exports (000's),2015,Q4,24464
Wales,Wales,Exports (000's),2016,Q1,27275
Wales,Wales,Exports (000's),2016,Q2,27402
Wales,Wales,Exports (000's),2016,Q3,17401
Wales,Wales,Exports (000's),2016,Q4,26156
Wales,Wales,Exports (000's),2017,Q1,26408
Wales,Wales,Exports (000's),2017,Q2,23646
Wales,Wales,Exports (000's),2017,Q3,26554
Wales,Wales,Exports (000's),2017,Q4,23306
Wales,Wales,Exports (000's),2018,Q1,38325
Wales,Wales,Exports (000's),2018,Q2,19483
Wales,Wales,Exports (000's),2018,Q3,38939
Wales,Wales,Exports (000's),2018,Q4,33338
Wales,Wales,Exports (000's),2019,Q1,28095
Wales,Wales,Exports (000's),2019,Q2,40883
Wales,Wales,Exports (000's),2019,Q3,27596
Wales,Wales,Exports (000's),2019,Q4,33943
Wales,Wales,Exports (000's),2020,Q1,21938
Wales,Wales,Exports (000's),2020,Q2,9996
Wales,Wales,Exports (000's),2020,Q3,13607
Wales,Wales,Exports (000's),2020,Q4,14119
Wales,Wales,Exports (000's),2021,Q1,26768
Wales,Wales,Exports (000's),2021,Q2,23684
Wales,Wales,Exports (000's),2021,Q3,19504
Wales,Wales,Exports (000's),2021,Q4,42569
Wales,Wales,Exports (000's),2022,Q1,58017
Wales,Wales,Exports (000's),2022,Q2,61640
Wales,Wales,Exports (000's),2022,Q3,60279
Wales,Wales,Exports (000's),2022,Q4,84960
Wales,Wales,Exports (000's),2023,Q1,41592
Wales,Wales,Exports (000's),2023,Q2,32937
Wales,Wales,Exports (000's),2023,Q3,61971
