date,value
2013-01-01,27511
2013-04-01,38193
2013-07-01,24256
2013-10-01,30549
2014-01-01,29277
2014-04-01,18788
2014-07-01,23271
2014-10-01,46052
2015-01-01,26568
2015-04-01,31188
2015-07-01,15813
2015-10-01,24464
2016-01-01,27275
2016-04-01,27402
2016-07-01,17401
2016-10-01,26156
2017-01-01,26408
2017-04-01,23646
2017-07-01,26554
2017-10-01,23306
2018-01-01,38325
2018-04-01,19483
2018-07-01,38939
2018-10-01,33338
2019-01-01,28095
2019-04-01,40883
2019-07-01,27596
2019-10-01,33943
2020-01-01,21938
2020-04-01,9996
2020-07-01,13607
2020-10-01,14119
2021-01-01,26768
2021-04-01,23684
2021-07-01,19504
2021-10-01,42569
2022-01-01,58017
2022-04-01,61640
2022-07-01,60279
2022-10-01,84960
2023-01-01,41592
2023-04-01,32937
2023-07-01,61971
